index_no,model,simulation,observer,scenario,run,step,time,agent_name,selected_predictor,predictor_fitness,predictor_prediction,my_play
53,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_3,st_same_2w,0.014084507042253521,10,NOT GOING
54,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_4,st_same_5w,0.02,0,GOING
55,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_5,st_trend_8w,0.018518518518518517,11,NOT GOING
56,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_6,st_trend_8w,0.017857142857142856,11,NOT GOING
57,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_7,st_same_lw,0.015625,3,GOING
58,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_8,st_trend_8w,0.01818181818181818,11,NOT GOING
59,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_9,st_same_lw,0.014492753623188406,3,GOING
60,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_0,st_same_5w,0.0196078431372549,32,NOT GOING
61,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_1,st_same_5w,0.019230769230769232,32,NOT GOING
62,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.015151515151515152,6,NOT GOING
63,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_3,st_same_2w,0.012658227848101266,3,NOT GOING
64,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_4,st_same_5w,0.019230769230769232,32,NOT GOING
65,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_5,st_trend_8w,0.015873015873015872,9,NOT GOING
66,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_6,st_trend_8w,0.015384615384615385,9,NOT GOING
67,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_7,st_same_lw,0.015384615384615385,2,GOING
68,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_8,st_trend_8w,0.015625,9,NOT GOING
69,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,6,2025-12-20T13:41,L60p_9,st_same_lw,0.014285714285714285,2,GOING
70,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_0,st_same_5w,0.012195121951219513,9,NOT GOING
71,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_1,st_same_5w,0.012048192771084338,9,NOT GOING
72,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.014084507042253521,4,NOT GOING
73,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_3,st_same_2w,0.012345679012345678,2,GOING
74,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_4,st_same_5w,0.012048192771084338,9,NOT GOING
75,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_5,st_trend_8w,0.014084507042253521,8,NOT GOING
76,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_6,st_trend_8w,0.0136986301369863,8,NOT GOING
77,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_7,st_same_lw,0.015151515151515152,1,GOING
78,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_8,st_trend_8w,0.013888888888888888,8,NOT GOING
79,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,7,2025-12-20T13:41,L60p_9,st_same_lw,0.014084507042253521,1,GOING
80,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_0,st_same_5w,0.011627906976744186,10,NOT GOING
81,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_1,st_same_5w,0.011494252873563218,10,NOT GOING
82,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013888888888888888,3,NOT GOING
83,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_3,st_same_2w,0.011904761904761904,1,GOING
84,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_4,st_same_5w,0.011494252873563218,10,NOT GOING
85,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_5,st_trend_8w,0.013513513513513514,9,NOT GOING
86,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_6,st_trend_8w,0.013157894736842105,9,NOT GOING
87,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_7,st_same_lw,0.014285714285714285,5,GOING
